id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
250661,72,10,26,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250662,79,0,31,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250663,82,9,17,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250664,83,26,36,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250665,116,3,33,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250666,119,15,2,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250667,120,14,4,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250668,127,5,22,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250669,128,9,17,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250670,137,1,44,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250671,143,7,16,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250672,144,6,13,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250673,146,7,30,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250674,147,25,6,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250675,150,22,7,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250676,151,11,17,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250677,152,22,4,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250678,153,11,42,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250679,157,19,2,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250680,160,1,24,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250681,161,16,12,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250682,164,2,27,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250683,167,2,43,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250684,168,4,43,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250685,173,3,43,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250686,174,7,8,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250687,195,4,37,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250688,212,5,22,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250689,216,9,14,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250690,217,29,10,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250691,218,24,14,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250692,223,5,28,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250693,224,3,19,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250694,225,6,30,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250695,228,3,39,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250696,229,1,22,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250697,232,8,9,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
250698,233,0,37,2014-07-03 05:03:51 UTC,2014-07-03 05:03:51 UTC,2014-07-03 05:03:15 UTC,Active
