id,label,latitude,longitude,n1,n2,n3,n4,n5
294,Washington Square E,40.73049393,-73.9957214,335,161,336,252,280
295,Pike St & E Broadway,40.71406667,-73.99293911,412,361,307,331,296
296,Division St & Bowery,40.71413089,-73.9970468,308,412,355,2009,295
297,E 15 St & 3 Ave,40.734232,-73.986923,475,483,325,285,497
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,243,271,274,431,324
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,439,293,236,229,335
301,E 2 St & Avenue B,40.72217444,-73.98368779,410,150,317,393,400
302,Avenue D & E 3 St,40.72082834,-73.97793172,411,150,393,341,266
303,Mercer St & Spring St,40.72362738,-73.99949601,348,151,2010,250,251
304,Broadway & Battery Pl,40.70463334,-74.01361706,260,427,534,2008,415
305,E 58 St & 3 Ave,40.76095756,-73.96724467,464,290,2023,385,367
306,Cliff St & Fulton St,40.70823502,-74.00530063,376,316,264,360,351
307,Canal St & Rutgers St,40.71427487,-73.98990025,340,295,361,350,331
308,St James Pl & Oliver St,40.71307916,-73.99851193,296,82,2009,355,386
309,Murray St & West St,40.7149787,-74.013012,147,426,327,417,152
310,State St & Smith St,40.68926942,-73.98912867,218,233,323,395,143
311,Norfolk St & Broome St,40.7172274,-73.98802084,350,361,307,401,349
312,Allen St & E Houston St,40.722055,-73.989111,265,401,473,428,403
313,Washington Ave & Park Ave,40.69610226,-73.96751037,343,421,366,270,244
314,Cadman Plaza West & Montague St,40.69383,-73.990539,233,232,322,143,392
315,South St & Gouverneur Ln,40.70355377,-74.00670227,337,351,415,264,260
316,Fulton St & William St,40.70955958,-74.00653609,376,306,224,264,360
317,E 6 St & Avenue B,40.72453734,-73.98185424,393,432,301,445,394
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,519,517,484,359,153
319,Park Pl & Church St,40.71336124,-74.00937622,417,152,147,146,330
320,Leonard St & Church St,40.717571,-74.005549,79,249,257,146,330
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,407,2000,430,414,391
322,Clinton St & Tillary St,40.696192,-73.991218,232,391,314,392,406
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,390,218,233,392,261
