id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
234725,72,21,11,2014-07-01 05:03:48 UTC,2014-07-01 05:03:48 UTC,2014-07-01 05:03:10 UTC,Active
234726,79,3,30,2014-07-01 05:03:48 UTC,2014-07-01 05:03:48 UTC,2014-07-01 05:03:10 UTC,Active
234727,82,2,24,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234728,83,43,18,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234729,116,7,26,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234730,119,14,3,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234731,120,16,3,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234732,127,7,17,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234733,128,14,14,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234734,137,1,44,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234735,143,22,2,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234736,144,6,11,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234737,146,4,35,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234738,147,0,31,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234739,150,27,3,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234740,151,4,25,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234741,152,4,23,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234742,153,0,52,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234743,157,20,1,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234744,160,2,24,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234745,161,1,32,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234746,164,3,43,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234747,167,4,36,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234748,168,0,44,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234749,173,2,47,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234750,174,9,9,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234751,195,6,35,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234752,212,1,27,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234753,216,2,20,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234754,217,36,2,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234755,218,21,17,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234756,223,13,18,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234757,224,3,19,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234758,225,0,34,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234759,228,1,53,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234760,229,1,24,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234761,232,12,6,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234762,233,21,15,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234763,236,33,5,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
234764,237,36,2,2014-07-01 05:03:49 UTC,2014-07-01 05:03:49 UTC,2014-07-01 05:03:10 UTC,Active
