id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
314405,72,38,1,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314406,79,0,31,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314407,82,14,12,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314408,83,46,11,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314409,116,10,26,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314410,119,13,6,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314411,120,15,1,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314412,127,18,10,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314413,128,6,17,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314414,137,1,44,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314415,143,17,4,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314416,144,10,8,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314417,146,3,34,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314418,147,3,19,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314419,150,9,22,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314420,151,3,30,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
314421,152,1,26,2014-07-11 05:04:03 UTC,2014-07-11 05:04:03 UTC,2014-07-11 05:03:15 UTC,Active
