id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
171645,72,26,12,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171646,79,23,9,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171647,82,6,18,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171648,83,24,33,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171649,116,28,7,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171650,119,10,7,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171651,120,4,14,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171652,127,28,2,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Inactive
171653,128,25,3,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171654,137,0,44,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171655,143,21,3,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171656,144,12,7,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171657,146,0,35,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171658,147,22,11,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171659,150,23,5,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171660,151,16,14,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171661,152,25,3,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171662,153,1,50,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171663,157,11,8,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171664,160,11,15,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171665,161,5,26,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171666,164,5,40,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171667,167,6,35,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171668,168,10,36,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171669,173,3,47,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171670,174,14,3,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171671,195,8,31,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171672,212,15,13,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171673,216,0,23,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171674,217,13,16,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171675,218,36,2,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171676,223,10,21,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171677,224,3,25,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
171678,225,7,12,2014-06-23 05:03:49 UTC,2014-06-23 05:03:49 UTC,2014-06-23 05:03:05 UTC,Active
