id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
258629,72,11,24,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258630,79,2,27,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258631,82,5,21,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258632,83,42,20,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258633,116,29,4,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258634,119,13,3,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258635,120,8,10,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258636,127,24,2,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258637,128,5,24,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258638,137,2,43,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258639,143,17,6,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258640,144,3,15,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258641,146,14,23,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258642,147,7,26,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258643,150,12,17,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258644,151,15,16,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258645,152,5,23,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258646,153,2,52,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258647,157,16,5,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258648,160,2,23,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258649,161,8,25,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258650,164,2,25,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258651,167,7,38,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258652,168,15,31,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258653,173,2,44,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258654,174,3,18,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258655,195,2,41,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258656,212,5,22,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258657,216,4,19,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258658,217,35,4,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258659,218,26,12,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258660,223,28,5,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258661,224,2,20,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258662,225,26,9,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258663,228,9,45,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258664,229,15,12,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258665,232,5,12,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258666,233,17,19,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258667,236,30,6,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258668,237,32,6,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258669,238,19,8,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258670,239,4,27,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258671,241,3,19,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258672,242,15,6,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258673,243,27,3,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258674,244,13,18,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258675,245,4,17,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258676,247,13,5,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258677,248,0,21,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258678,249,1,26,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258679,250,7,31,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258680,251,24,3,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258681,252,3,24,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258682,253,0,3,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Inactive
258683,254,0,3,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Inactive
258684,257,7,29,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258685,258,6,17,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258686,259,13,26,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258687,260,2,29,2014-07-04 05:04:10 UTC,2014-07-04 05:04:10 UTC,2014-07-04 05:03:19 UTC,Active
258688,261,25,2,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258689,262,6,17,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258690,263,12,19,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258691,264,2,24,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258692,265,20,15,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258693,266,20,4,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258694,267,34,23,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258695,268,7,18,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258696,270,10,13,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258697,271,20,16,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258698,274,27,3,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258699,275,6,13,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258700,276,1,23,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258701,278,5,14,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258702,279,11,25,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258703,280,18,8,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258704,281,2,57,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258705,282,10,16,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258706,284,20,19,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258707,285,25,18,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258708,289,0,19,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258709,290,21,8,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258710,291,9,10,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258711,293,4,49,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258712,294,5,26,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258713,295,9,14,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258714,296,13,4,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258715,297,19,6,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258716,298,16,18,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258717,300,13,36,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258718,301,29,5,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258719,302,14,8,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258720,303,10,20,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258721,304,3,27,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258722,305,6,21,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258723,306,4,31,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258724,307,22,7,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258725,308,15,11,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258726,309,1,39,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258727,310,30,4,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258728,311,3,26,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258729,312,30,1,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258730,313,17,3,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258731,314,2,28,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258732,315,1,27,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258733,316,0,41,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258734,317,15,12,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258735,318,1,28,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
258736,319,1,32,2014-07-04 05:04:11 UTC,2014-07-04 05:04:11 UTC,2014-07-04 05:03:19 UTC,Active
